                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.89909,                0.46125,                0.94333,                0.97933,                0.96206,                0.98396,                0.67867,                 1.1172,                0.49555,                 1.1023,              0.0006568,              0.0006568,              0.0006568
                    107,                0.90728,                0.46415,                0.94046,                0.98849,                0.94924,                0.98963,                0.69065,                 1.1067,                 0.4764,                 1.0768,              0.0006535,              0.0006535,              0.0006535
                    108,                0.90115,                0.47293,                0.94445,                0.98258,                0.94924,                0.98373,                0.68995,                 1.1223,                0.50871,                 1.0914,              0.0006502,              0.0006502,              0.0006502
                    109,                0.87354,                0.46482,                 0.9343,                0.98437,                0.95897,                0.98432,                0.69469,                 1.1163,                0.48159,                 1.0855,              0.0006469,              0.0006469,              0.0006469
                    110,                 0.8746,                0.45447,                0.92832,                0.98427,                  0.953,                0.98645,                0.71133,                 1.0989,                0.49152,                 1.0787,              0.0006436,              0.0006436,              0.0006436
                    111,                0.87371,                0.45658,                 0.9357,                 0.9774,                0.95431,                 0.9848,                0.69048,                 1.1259,                0.49893,                 1.0887,              0.0006403,              0.0006403,              0.0006403
                    112,                0.87115,                0.45189,                0.93973,                0.98431,                0.95509,                0.98107,                0.69213,                 1.1193,                0.50231,                 1.0891,               0.000637,               0.000637,               0.000637
                    113,                0.89842,                 0.4638,                0.94757,                0.99925,                0.95431,                0.98695,                0.69353,                 1.1035,                0.48508,                 1.0844,              0.0006337,              0.0006337,              0.0006337
                    114,                0.87445,                 0.4582,                0.93439,                0.99471,                0.95385,                0.98608,                 0.7015,                 1.1097,                0.49532,                 1.0782,              0.0006304,              0.0006304,              0.0006304
                    115,                0.89115,                0.44928,                0.93251,                0.98428,                0.95331,                0.98617,                0.70037,                 1.1083,                0.49868,                 1.0863,              0.0006271,              0.0006271,              0.0006271
                    116,                0.85676,                 0.4612,                0.92945,                0.98026,                0.95939,                0.97921,                0.68786,                 1.1362,                0.49042,                 1.1064,              0.0006238,              0.0006238,              0.0006238
                    117,                0.87677,                0.45246,                0.93438,                0.98423,                0.96447,                0.97722,                0.67945,                 1.1639,                0.49686,                 1.1316,              0.0006205,              0.0006205,              0.0006205
                    118,                0.87454,                0.45596,                0.94242,                0.97537,                0.95431,                0.98238,                  0.683,                  1.132,                0.50138,                 1.1048,              0.0006172,              0.0006172,              0.0006172
                    119,                0.88242,                0.46097,                0.93551,                0.98804,                0.95431,                0.98536,                0.69729,                 1.0969,                0.49897,                 1.0921,              0.0006139,              0.0006139,              0.0006139
                    120,                0.87735,                 0.4653,                 0.9375,                0.95426,                0.95317,                0.96713,                0.68868,                  1.111,                0.51373,                 1.0971,              0.0006106,              0.0006106,              0.0006106
                    121,                 0.8539,                0.44371,                0.93715,                0.97756,                0.94924,                 0.9763,                0.68339,                 1.1303,                 0.5029,                 1.1078,              0.0006073,              0.0006073,              0.0006073
                    122,                0.85955,                0.45285,                0.93459,                0.98429,                0.95423,                 0.9862,                0.69667,                 1.1258,                0.50862,                 1.1161,               0.000604,               0.000604,               0.000604
                    123,                0.85126,                 0.4451,                0.92205,                0.98428,                 0.9535,                0.98192,                0.69529,                 1.1308,                0.49806,                 1.1169,              0.0006007,              0.0006007,              0.0006007
                    124,                0.86173,                0.45948,                0.92828,                 0.9842,                0.94881,                0.98814,                0.68255,                 1.1551,                 0.4961,                 1.1272,              0.0005974,              0.0005974,              0.0005974
                    125,                0.84254,                0.45011,                0.92999,                0.97386,                0.95939,                0.98863,                0.69488,                 1.1331,                0.48325,                 1.1084,              0.0005941,              0.0005941,              0.0005941
                    126,                0.84441,                0.44964,                0.92954,                0.98326,                0.95431,                0.98646,                0.69482,                 1.1118,                0.47351,                 1.1064,              0.0005908,              0.0005908,              0.0005908
                    127,                0.84888,                0.43708,                0.92197,                0.98443,                0.96275,                0.98515,                0.69779,                 1.1089,                0.47207,                 1.0932,              0.0005875,              0.0005875,              0.0005875
                    128,                0.85365,                0.43818,                0.92566,                0.98947,                0.95378,                0.98477,                0.69839,                 1.1388,                0.49408,                 1.1023,              0.0005842,              0.0005842,              0.0005842
                    129,                0.82992,                0.44311,                0.92693,                0.98904,                0.95431,                0.98444,                0.67829,                 1.1536,                0.49651,                 1.1121,              0.0005809,              0.0005809,              0.0005809
                    130,                0.84122,                 0.4444,                 0.9304,                0.97814,                0.95431,                0.98406,                0.68016,                 1.1215,                0.49446,                 1.1045,              0.0005776,              0.0005776,              0.0005776
                    131,                0.84328,                0.43721,                0.92234,                0.98388,                0.95431,                0.98261,                0.69556,                 1.1535,                0.49274,                 1.1139,              0.0005743,              0.0005743,              0.0005743
                    132,                0.83632,                0.44086,                0.92368,                0.97871,                0.95939,                0.98262,                 0.6946,                 1.1047,                0.48827,                 1.0788,               0.000571,               0.000571,               0.000571
                    133,                0.83392,                0.43887,                0.91882,                0.98365,                0.94924,                0.98141,                 0.6829,                 1.1082,                0.49447,                  1.085,              0.0005677,              0.0005677,              0.0005677
                    134,                0.83257,                0.43076,                 0.9205,                0.98304,                0.95431,                0.97493,                0.67364,                 1.1278,                0.50598,                 1.0892,              0.0005644,              0.0005644,              0.0005644
                    135,                0.84038,                0.44708,                0.92458,                0.98436,                0.95839,                0.97708,                0.68649,                 1.1207,                 0.4813,                 1.0931,              0.0005611,              0.0005611,              0.0005611
                    136,                0.80584,                0.43625,                0.90936,                0.97926,                0.95872,                0.97465,                0.68574,                 1.1195,                0.48399,                  1.103,              0.0005578,              0.0005578,              0.0005578
                    137,                0.82482,                0.44379,                0.91519,                0.98868,                0.94924,                0.97373,                0.66751,                  1.134,                 0.5057,                 1.1025,              0.0005545,              0.0005545,              0.0005545
                    138,                0.83184,                0.43509,                0.92138,                0.98941,                0.94844,                0.98238,                0.69802,                  1.126,                0.48543,                 1.0995,              0.0005512,              0.0005512,              0.0005512
                    139,                0.82708,                0.44498,                0.92613,                0.98846,                0.94416,                0.98867,                0.70683,                 1.0941,                 0.4739,                 1.0922,              0.0005479,              0.0005479,              0.0005479
                    140,                 0.8136,                0.43286,                0.91983,                0.98894,                0.94924,                0.98519,                0.68704,                 1.1168,                0.48342,                 1.1001,              0.0005446,              0.0005446,              0.0005446
                    141,                0.82193,                0.43946,                0.92411,                0.98382,                0.95431,                0.98197,                0.70351,                 1.1205,                0.48676,                 1.1046,              0.0005413,              0.0005413,              0.0005413
                    142,                0.80566,                0.42606,                0.91064,                0.98437,                0.95884,                0.97885,                0.69685,                 1.1198,                 0.4822,                 1.1022,               0.000538,               0.000538,               0.000538
                    143,                0.83203,                0.43117,                 0.9184,                0.97878,                0.95939,                0.98231,                0.68976,                 1.1291,                0.48721,                 1.1182,              0.0005347,              0.0005347,              0.0005347
                    144,                0.79989,                0.41451,                0.91691,                0.98373,                0.95431,                0.98724,                0.69396,                 1.1272,                0.49201,                 1.1359,              0.0005314,              0.0005314,              0.0005314
                    145,                0.80944,                0.42712,                0.91177,                0.98276,                0.95939,                0.98373,                0.69429,                 1.1102,                0.47231,                 1.1019,              0.0005281,              0.0005281,              0.0005281
                    146,                0.80374,                0.43368,                0.91176,                0.98947,                0.95354,                0.98382,                0.68766,                 1.1274,                0.47852,                 1.1067,              0.0005248,              0.0005248,              0.0005248
                    147,                0.80452,                0.43189,                0.91348,                0.98401,                0.95431,                0.98371,                0.68948,                 1.1341,                0.48504,                 1.1053,              0.0005215,              0.0005215,              0.0005215
                    148,                0.82045,                0.42504,                0.91378,                0.97926,                0.95872,                0.98516,                0.69284,                 1.1459,                0.50571,                 1.1123,              0.0005182,              0.0005182,              0.0005182
                    149,                 0.7979,                0.42254,                0.91376,                 0.9746,                0.97378,                0.98729,                0.70228,                 1.1403,                0.47287,                  1.117,              0.0005149,              0.0005149,              0.0005149
                    150,                0.81525,                0.43177,                0.91501,                 0.9882,                0.95939,                0.98568,                0.70932,                 1.1231,                0.46711,                 1.0941,              0.0005116,              0.0005116,              0.0005116
